state,county,population,white,all_workers,public_transit,bike,walked,all_female_marital,female_married,poverty_status_denominator,in_poverty,median_income,housing_units,housing_units_single_detached,housing_units_single_attached
51,760,211063,92430,98863,5545,2031,4794,93795,26895,200784,51295,41331,99123,47928,8017
51,770,97949,63687,45136,1243,204,1175,41999,16566,96176,21057,39530,47330,30266,1378
51,775,25120,22085,12127,191,13,481,11236,5126,23138,2691,50590,10848,7699,374
51,790,24132,20171,11153,24,38,722,11594,4775,22897,4173,39982,11740,7987,230
51,800,85477,44663,39912,187,127,475,35271,18321,84444,9401,66822,33862,26133,2020
51,810,445623,303547,231508,1999,1283,5912,184570,97518,434326,36079,67001,179842,99237,37362
51,820,21177,17026,9115,23,8,191,9208,4512,20864,4329,45499,9811,6739,344
51,830,14401,10787,5943,269,136,903,7154,1982,10140,2080,48057,4951,2299,621
51,840,27031,21703,12248,88,46,893,11196,5154,25950,4048,44731,11913,6525,1461
53,001,18951,12783,7509,51,29,243,6567,3879,18676,4348,44533,6264,3971,129
53,003,21955,20583,8949,75,59,315,9457,4730,21612,3310,42689,9858,6602,276
53,005,182053,146078,80178,941,265,1729,70901,39129,179973,24672,60589,70606,44557,1952
53,007,73664,66354,31625,402,238,1221,29638,16211,72884,10795,50876,35755,24596,625
53,009,72024,63318,27001,720,278,1197,31210,15984,70569,10651,47008,35690,25232,947
53,011,438272,372662,190664,4597,973,3269,176052,94838,434094,51261,59551,169520,114630,8605
53,013,4031,3720,1572,28,22,167,1729,936,3953,690,41071,2132,1723,1
53,015,102072,92786,38619,64,226,648,41674,22298,100642,18511,46571,43451,29129,728
53,017,39183,28836,17441,111,0,396,15291,8956,38923,6097,53235,16100,10371,349
53,019,7657,5808,2359,5,0,226,3124,1565,7543,1720,37542,4394,2992,79
53,021,84508,56156,34919,403,66,576,28565,15259,82446,16164,56719,25603,17316,409
53,023,2240,2140,926,2,8,58,933,579,2201,274,50915,1215,938,0
53,025,91458,64344,36919,963,52,1275,33557,18262,90451,17548,46772,35286,19129,1393
53,027,71734,61989,25472,440,120,680,28701,14322,68534,12862,43379,35208,25431,624
53,029,78951,67247,35092,1019,68,1245,33384,20514,76968,7539,59107,40458,31178,971
53,031,29978,26920,10755,207,142,542,13489,7402,29012,3666,47202,17863,13525,316
53,033,2008997,1384506,1030879,121240,16413,48300,832728,416011,1979786,233458,73035,863745,475176,36472
53,035,253614,208328,116435,10036,628,5369,102647,56156,245969,26858,62473,108282,74524,4835
53,037,41705,37063,18917,158,540,1571,17670,8057,39287,8691,45406,22188,14917,315
53,039,20668,18588,7809,0,26,383,8501,4899,20489,3187,46368,9857,7334,163
